road1,road2,intersection latitude,intersection longitude
CANAL ST,WOOSTER ST,40.72085370885319,-74.00392865513184
JANE ST,8 AVE,40.73813468125716,-74.00417505316446
JANE ST,GREENWICH AVE,40.73812924951247,-74.00203159441598
JANE ST,W 4 ST,40.738137436478056,-74.00387554648559
BARROW ST,COMMERCE ST,40.73159934948505,-74.00586326361811
BARROW ST,7 AVE S,40.73235425243382,-74.00352160622694
BARROW ST,BLEECKER ST,40.73232405734035,-74.00361180966786
BARROW ST,BEDFORD ST,40.73183543448011,-74.00510556763821
BARROW ST,W 4 ST,40.732837363512935,-74.00212163880535
COMMERCE ST,7 AVE S,40.7318931251889,-74.00378858703887
COMMERCE ST,BEDFORD ST,40.7315444977165,-74.00493957002102
HANOVER ST,HANOVER SQ,40.70530983669678,-74.00902766842657
RENWICK ST,SPRING ST,40.7259148067185,-74.00834857520206
W 10 ST,7 AVE S,40.73433873866236,-74.00239230990222
W 10 ST,AVE OF THE AMERICAS,40.734783406439796,-73.99871543286785
W 10 ST,BLEECKER ST,40.734009302735934,-74.004560882002
W 10 ST,GREENWICH AVE,40.73468734722502,-73.99997113336448
W 10 ST,WAVERLY PL,40.73448148232556,-74.00138920254203
W 10 ST,WEEHAWKEN ST,40.73320476312356,-74.00980000472552
BEEKMAN ST,WILLIAM ST,40.71039610142321,-74.00559808648983
BEEKMAN ST,GOLD ST,40.709660539956126,-74.00482613213165
BEEKMAN ST,NASSAU ST,40.711230463047436,-74.006478279117
BEEKMAN ST,THEATER ALY,40.71150217791056,-74.00676687147306
BEEKMAN ST,CLIFF ST,40.70872460842089,-74.00397122337094
N MOORE ST,VARICK ST,40.71977762910241,-74.00680739443905
VARICK ST,VESTRY ST,40.72250043269636,-74.00675716518262
VARICK ST,CLARKSON ST,40.72944749460991,-74.0051703295056
VARICK ST,FRANKLIN ST,40.71912711339367,-74.00693719752891
VARICK ST,7 AVE S,40.72944749460991,-74.0051703295056
VARICK ST,BROOME ST,40.7244025897701,-74.00603941130333
VARICK ST,CHARLTON ST,40.727155605872056,-74.00554537553745
VARICK ST,SPRING ST,40.7256734257056,-74.0057797618929
VARICK ST,GRAND ST,40.72312077753251,-74.00623411111634
VARICK ST,W HOUSTON ST,40.72860484802414,-74.00531458413064
VARICK ST,ERICSSON PL,40.7204363778372,-74.00669562742966
VARICK ST,BEACH ST,40.7204363778372,-74.00669562742966
VARICK ST,VANDAM ST,40.72643647420573,-74.00565716006021
VARICK ST,KING ST,40.727877482455725,-74.00542637290448
